code,name,region,type,capital,population2010,population2015,population2020,population2024,growth2015,growth2020,growth10y,growth2024,area,municipalities,cities,barangays,cong_district,aka
ILI,Iloilo,6,PRV,Iloilo,1805576,1936423,2051899,2082616,1.34,1.23,0.82,0.36,5000.83,42,1,1721,5,
ILC,Iloilo,6,HUC,,424619,447992,457626,473728,1.02,0.45,0.63,0.83,78.34,,,180,1,
ISA,Isabela,2,PRV,Ilagan,1489645,1458736,1548470,1582735,1.29,1.33,0.94,0.5,12159.43,34,2,1018,6,
KAL,Kalinga,15,PRV,Tabuk,201613,212680,229570,235391,1.02,1.62,1.14,0.6,3231.25,7,1,152,1,
LUN,La Union,1,PRV,San Fernando,741906,786653,822352,825072,1.12,0.94,0.54,0.08,1497.7,19,1,576,2,
LAG,Laguna,40,PRV,Santa Cruz,2669847,3035081,3382193,3687345,2.47,2.3,2.21,2.09,1917.85,24,6,681,4,
LAN,Lanao del Norte,10,PRV,Tubod,607917,676395,722902,761725,2.05,1.41,1.34,1.26,3346.57,22,0,462,2,
LAS,Lanao del Sur,14,PRV,Marawi,933260,1045429,1195518,1368137,2.18,2.86,3.06,3.29,3872.89,39,1,1159,2,
LLC,Lapu-Lapu,7,HUC,,350467,408112,497604,497813,2.94,4.26,2.25,0.01,58.1,,,30,1,
LPC,Las Piñas,0,HUC,,552573,588894,606293,615549,1.22,0.61,0.5,0.36,32.69,,,20,1,
LEY,Leyte,8,PRV,Tacloban,1567984,1509648,1545849,1584913,1.83,0.63,0.63,0.62,5699.73,40,1,1393,6,
LUC,Lucena,40,HUC,,246392,266248,278924,280331,1.49,0.98,0.58,0.12,80.21,,,33,0,
MGS,Maguindanao del Sur,14,PRV,Buluan,507554,637033,723758,813243,4.42,2.72,2.77,2.84,2293.9,24,0,287,1,
MGN,Maguindanao del Norte,14,PRV,Datu Odin Sinsuat,437164,536900,618421,741428,3.19,2.57,3.38,4.31,1801.94,12,0,221,1,
MKT,Makati,0,HUC,,263683,280150,292743,309770,1.16,0.93,1.13,1.37,21.57,,,23,2,
MLB,Malabon,0,HUC,,353337,365525,380522,389929,0.65,0.85,0.73,0.59,15.71,,,21,1,
MND,Mandaluyong,0,HUC,,328699,386276,425758,465902,3.12,2.07,2.12,2.18,9.29,,,27,1,
MDE,Mandaue,7,HUC,,331320,362654,364116,364482,1.73,0.08,0.06,0.02,25.18,,,27,1,
MML,Metro Manila,0,REG,,11855975,12877253,13484462,14001751,1.58,0.97,0.94,0.91,619.57,1,16,1710,33,
MNL,Manila,0,HUC,,1652171,1780148,1846513,1902590,1.43,0.77,0.75,0.72,42.88,,,897,6,
MRK,Marikina,0,HUC,,424150,450741,456059,471323,1.16,0.25,0.5,0.79,21.52,,,16,2,
MAD,Marinduque,41,PRV,Boac,227828,234521,239207,226522,0.55,0.42,-0.39,-1.3,952.58,6,0,218,1,
MAS,Masbate,5,PRV,Masbate,834650,892393,908920,910813,1.28,0.39,0.23,0.05,4151.78,20,1,550,3,
MSC,Misamis Occidental,10,PRV,Oroquieta,567642,602126,617333,621993,1.13,0.53,0.36,0.18,2055.22,14,3,490,2,
MSR,Misamis Oriental,10,PRV,Cagayan de Oro,813856,888509,956900,988065,1.68,1.57,1.2,0.77,3131.52,23,2,424,2,
MOU,Mountain Province,15,PRV,Bontoc,154187,154590,158200,149775,0.05,0.49,-0.35,-1.3,2157.38,10,0,144,1,
MUN,Muntinlupa,0,HUC,,459941,504509,543445,552225,1.78,1.58,1.02,0.39,39.75,,,9,1,
NAG,Naga,5,ICC,,174931,196003,209170,210545,2.19,1.38,0.81,0.16,84.48,,,27,0,
NAV,Navotas,0,HUC,,249131,249463,247543,252878,0.03,-0.16,0.15,0.51,8.94,,,18,1,
NEC,Negros Occidental,16,PRV,Bacolod,2396039,2497261,2623172,2680477,0.79,1.04,0.8,0.52,7802.54,19,12,601,6,
NER,Negros Oriental,16,PRV,Dumaguete,1286666,1354995,1432990,1492038,0.99,1.18,1.09,0.97,5385.53,19,6,557,3,
NSA,Northern Samar,8,PRV,Catarman,589013,632379,639186,645789,1.36,0.23,0.24,0.25,3692.93,24,0,569,2,
NUE,Nueva Ecija,3,PRV,Palayan,1955373,2151461,2310134,2395816,1.84,1.51,1.21,0.88,5751.33,27,5,849,4,
NUV,Nueva Vizcaya,2,PRV,Bayombong,421355,452287,497432,530106,1.36,2.02,1.8,1.54,3975.67,15,0,275,1,
MDC,Occidental Mindoro,41,PRV,Mamburao,452971,487414,525354,511417,1.4,1.59,0.54,-0.64,5865.71,11,0,164,1,
OLG,Olongapo,3,HUC,,221178,233040,260317,264903,1,2.36,1.45,0.42,185,,,17,0,
MDR,Oriental Mindoro,41,PRV,Calapan,785602,844059,908339,919504,1.38,1.56,0.96,0.29,4238.38,14,1,426,2,
ORM,Ormoc,8,ICC,,191200,215031,230998,238545,2.26,1.52,1.17,0.77,613.6,,,110,0,Ormoc City
PLW,Palawan,41,PRV,Puerto Princesa,771667,849469,939594,968795,1.84,2.14,1.48,0.74,14649.73,23,0,367,3,
PAM,Pampanga,3,PRV,San Fernando,2014019,2198110,2437709,2586446,1.68,2.2,1.84,1.43,2002.2,19,2,505,4,
PAN,Pangasinan,1,PRV,Lingayen,2779862,2785455,2988888,3013763,1.18,1.43,0.85,0.19,5413.78,44,3,1333,6,
PRQ,Parañaque,0,HUC,,588126,665822,689992,703245,2.39,0.75,0.61,0.46,46.57,,,16,2,
PSY,Pasay,0,HUC,,392869,416522,440656,453186,1.12,1.19,0.95,0.67,13.97,,,201,1,Pasay City
PSG,Pasig,0,HUC,,669773,755300,803159,853050,2.31,1.3,1.37,1.46,48.46,,,30,1,
PAT,Pateros,0,MUN,,64147,63840,65227,67319,-0.09,0.45,0.6,0.76,2.25,,,10,0,
PPC,Puerto Princesa,41,HUC,,222673,255116,307079,316384,2.62,3.98,2.44,0.72,2381.02,,,66,0,
QUE,Quezon,40,PRV,Lucena,1740638,1856582,1950459,1980338,1.23,1.04,0.73,0.37,8989.39,39,1,1209,4,
QZC,Quezon,0,HUC,,2761720,2936116,2960048,3084270,1.17,0.17,0.55,0.99,171.71,,,142,6,Quezon City
QUI,Quirino,2,PRV,Cabarroguis,176786,188991,203828,210841,1.28,1.6,1.23,0.81,2323.47,6,0,132,1,
RIZ,Rizal,40,PRV,Antipolo,2484840,2884227,3330143,3416541,2.88,3.07,1.92,0.62,1191.94,13,1,188,6,
ROM,Romblon,41,PRV,Romblon,283930,292781,308985,302824,0.59,1.14,0.38,-0.48,1533.45,17,0,219,1,
WSA,Samar,8,PRV,Catbalogan,733377,780481,793183,806179,1.19,0.34,0.36,0.39,6048.03,24,2,951,2,
SJC,San Juan,0,HUC,,121430,122180,126347,134312,0.12,0.71,1.07,1.48,5.95,,,21,1,
SNT,Santiago,2,ICC,,132804,134830,148580,150313,0.29,2.06,1.23,0.28,255.5,,,37,0,
SAR,Sarangani,12,PRV,Alabel,498904,544261,558946,580915,1.67,0.56,0.73,0.93,3601.25,7,0,141,1,
SGA,Special Geographical Area,14,PRV,,147611,192324,215433,214703,5.16,2.42,1.24,-0.08,805.22,8,0,63,0,
SIG,Siquijor,16,PRV,Siquijor,91066,95984,103395,107642,1.01,1.58,1.29,0.97,337.49,6,0,134,1,
SOR,Sorsogon,5,PRV,Sorsogon,740743,792949,828655,845066,1.3,0.93,0.72,0.47,2119.01,14,1,541,2,
SCO,South Cotabato,12,PRV,Koronadal,827200,915289,975476,1010009,1.94,1.35,1.11,0.84,3935.95,10,1,199,3,
SLE,Southern Leyte,8,PRV,Maasin,399137,421750,429573,434372,1.05,0.39,0.33,0.27,1798.61,18,1,500,2,
SUK,Sultan Kudarat,12,PRV,Isulan,747087,812095,854052,863651,1.6,1.07,0.69,0.27,5298.34,11,1,249,2,
SLU,Sulu,9,PRV,Jolo,718290,824731,1000108,1146097,2.66,4.14,3.76,3.32,1600.4,19,0,410,2,
SUN,Surigao del Norte,13,PRV,Surigao,442588,485088,534636,565644,1.76,2.07,1.74,1.36,1972.93,20,1,335,2,
SUR,Surigao del Sur,13,PRV,Tandag,561219,592250,642255,648858,1.03,1.72,1.03,0.25,4932.7,17,2,309,2,
TAC,Tacloban,8,HUC,,221174,242089,251881,259353,1.73,0.84,0.77,0.7,201.72,,,138,0,
TAG,Taguig,0,HUC,,909829,1107367,1223595,1308085,3.81,2.12,1.88,1.61,54.05,,,38,2,
TAR,Tarlac,3,PRV,Tarlac,1273240,1366027,1503456,1568162,1.35,2.04,1.56,1.02,3053.6,17,1,511,3,
TAW,Tawi-Tawi,14,PRV,Bongao,366550,390715,440276,482645,1.22,2.54,2.4,2.23,1087.4,11,0,203,2,
VAL,Valenzuela,0,HUC,,575356,620422,714978,725173,1.45,3.03,1.76,0.34,47.02,,,33,2,
ZMB,Zambales,3,PRV,Iba,534443,590848,649615,681225,1.93,2.01,1.61,1.15,3645.83,13,0,230,2,
ZBC,Zamboanga,9,HUC,,807129,861799,977234,1018849,1.26,2.68,1.89,1.01,1414.7,,,98,2,
ZAN,Zamboanga del Norte,9,PRV,Dipolog,957997,1011393,1047455,1067067,1.04,0.74,0.6,0.45,7301,25,2,691,3,
ZAS,Zamboanga del Sur,9,PRV,Pagadian,959685,1010674,1050668,1045126,0.99,0.82,0.38,-0.13,4499.46,26,1,681,2,
ZSI,Zamboanga Sibugay,9,PRV,Ipil,584685,633129,669840,661498,1.53,1.19,0.49,-0.3,3607.75,16,0,389,2,
